MemTotal:       11583908 kB
MemFree:         2105248 kB
MemAvailable:    5771476 kB
Buffers:            4204 kB
Cached:          3399612 kB
SwapCached:        32556 kB
Active:          2281976 kB
Inactive:        2738692 kB
Active(anon):     462396 kB
Inactive(anon):  1429996 kB
Active(file):    1819580 kB
Inactive(file):  1308696 kB
Unevictable:      240332 kB
Mlocked:          240332 kB
SwapTotal:      12582908 kB
SwapFree:        9644280 kB
Dirty:              5416 kB
Writeback:             0 kB
AnonPages:       1770404 kB
Mapped:          1166956 kB
Shmem:             46796 kB
KReclaimable:     903652 kB
Slab:             965504 kB
SReclaimable:     358736 kB
SUnreclaim:       606768 kB
KernelStack:      108044 kB
ShadowCallStack:       0 kB
PageTables:       190824 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18374860 kB
Committed_AS:   295477220 kB
VmallocTotal:   257687552 kB
VmallocUsed:      404516 kB
VmallocChunk:          0 kB
Percpu:            20704 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         147456 kB
CmaFree:           89072 kB
