MemTotal:       11583908 kB
MemFree:         1614924 kB
MemAvailable:    5374512 kB
Buffers:            4164 kB
Cached:          3278260 kB
SwapCached:        32532 kB
Active:          2291404 kB
Inactive:        3168988 kB
Active(anon):     541080 kB
Inactive(anon):  1910024 kB
Active(file):    1750324 kB
Inactive(file):  1258964 kB
Unevictable:      240428 kB
Mlocked:          240428 kB
SwapTotal:      12582908 kB
SwapFree:        9238988 kB
Dirty:              4980 kB
Writeback:             0 kB
AnonPages:       2398620 kB
Mapped:          1593764 kB
Shmem:             46800 kB
KReclaimable:    1116000 kB
Slab:             969412 kB
SReclaimable:     362356 kB
SUnreclaim:       607056 kB
KernelStack:      122368 kB
ShadowCallStack:       0 kB
PageTables:       205012 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18374860 kB
Committed_AS:   322029672 kB
VmallocTotal:   257687552 kB
VmallocUsed:      417028 kB
VmallocChunk:          0 kB
Percpu:            20704 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         147456 kB
CmaFree:            1384 kB
