  PID NAME                       
    1 init
    2 [kthreadd]
    3 [pool_workqueue_release]
    4 [kworker/R-rcu_g]
    5 [kworker/R-slub_]
    6 [kworker/R-netns]
   12 [kworker/R-mm_pe]
   13 [rcu_tasks_kthread]
   14 [rcu_tasks_trace_kthread]
   15 [ksoftirqd/0]
   16 [rcu_preempt]
   17 [rcuog/0]
   18 [rcuop/0]
   19 [rcub/0]
   20 [rcu_exp_gp_kthread_worker]
   21 [rcu_exp_par_gp_kthread_worker]
   22 [migration/0]
   23 [idle_inject/0]
   24 [cpuhp/0]
   25 [cpuhp/1]
   26 [idle_inject/1]
   27 [migration/1]
   28 [ksoftirqd/1]
   31 [rcuop/1]
   32 [cpuhp/2]
   33 [idle_inject/2]
   34 [migration/2]
   35 [ksoftirqd/2]
   38 [rcuop/2]
   39 [cpuhp/3]
   40 [idle_inject/3]
   41 [migration/3]
   42 [ksoftirqd/3]
   45 [rcuop/3]
   46 [cpuhp/4]
   47 [idle_inject/4]
   48 [migration/4]
   49 [ksoftirqd/4]
   52 [rcuog/4]
   53 [rcuop/4]
   54 [cpuhp/5]
   55 [idle_inject/5]
   56 [migration/5]
   57 [ksoftirqd/5]
   60 [rcuop/5]
   61 [cpuhp/6]
   62 [idle_inject/6]
   63 [migration/6]
   64 [ksoftirqd/6]
   67 [rcuop/6]
   68 [cpuhp/7]
   69 [idle_inject/7]
   70 [migration/7]
   71 [ksoftirqd/7]
   74 [rcuop/7]
   75 [kworker/R-inet_]
   76 [kauditd]
   77 [khungtaskd]
   78 [oom_reaper]
   79 [kworker/R-write]
   80 [kcompactd0]
   81 [kworker/R-kbloc]
   84 [kworker/R-edac-]
   85 [kworker/R-devfr]
   86 [watchdogd]
   90 [kswapd0]
   93 [erofs_worker/0]
   94 [erofs_worker/1]
   95 [erofs_worker/2]
   96 [erofs_worker/3]
   97 [erofs_worker/4]
   98 [erofs_worker/5]
   99 [erofs_worker/6]
  100 [erofs_worker/7]
  101 [kworker/R-kthro]
  159 [dmabuf-deferred-free-worker]
  160 [kworker/R-nvme-]
  161 [kworker/R-nvme-]
  162 [kworker/R-nvme-]
  163 [kworker/R-uas]
  164 [kworker/R-dm_bu]
  165 [kworker/R-mld]
  167 [kworker/R-ipv6_]
  168 [kworker/R-kstrp]
  171 [hang_detect]
  172 [hang_detect1]
  174 [xswapd0]
  175 [kworker/R-mt-wd]
  176 [wdtk-0]
  177 [wdtk-1]
  178 [wdtk-2]
  179 [wdtk-3]
  180 [wdtk-4]
  181 [wdtk-5]
  182 [wdtk-6]
  183 [wdtk-7]
  185 [hwrng]
  186 [irq/34-mtk_tinysys_mbox]
  187 [irq/35-mtk_tinysys_mbox]
  189 [kworker/R-miev_]
  192 [dmabuf-deferred-free-worker]
  193 [reserve-refill]
  194 [dma_pool_fill_thread]
  195 [kworker/R-VCP_W]
  196 [kworker/R-VCP_L]
  197 [kworker/R-VCP_R]
  198 [irq/322-event_0]
  199 [irq/322-event_1]
  200 [irq/322-event_2]
  201 [irq/322-event_3]
  202 [irq/322-event_4]
  203 [irq/323-event_0]
  204 [irq/323-event_1]
  205 [irq/323-event_2]
  206 [irq/323-event_3]
  207 [irq/323-event_4]
  208 [irq/324-event_0]
  209 [irq/324-event_1]
  210 [irq/324-event_2]
  211 [irq/324-event_3]
  212 [irq/324-event_4]
  213 [irq/290-rcs_irq]
  214 [irq/292-rcs_irq]
  215 [irq/325-spmi_nack_irq]
  216 [irq/326-spmi_nack_irq]
  217 [irq/327-spmi_nack_irq]
  220 [kworker/R-mmdeb]
  221 [kworker/R-vmm_n]
  224 [kworker/R-mmdvf]
  227 [cmdq_irq_thread]
  228 [kworker/R-cmdq_]
  229 [kworker/R-cmdq_]
  230 [kworker/R-cmdq_]
  231 [cmdq_irq_thread]
  232 [kworker/R-cmdq_]
  233 [kworker/R-cmdq_]
  234 [kworker/R-cmdq_]
  235 [kworker/R-cmdq_]
  236 [kworker/R-cmdq_]
  237 [cmdq_buffer_usage]
  238 [kworker/R-cmdq_]
  239 [kworker/R-cmdq_]
  240 [kworker/R-cmdq_]
  241 [kworker/R-cmdq_]
  243 [kworker/R-aal_r]
  244 [kworker/R-clari]
  245 [kworker/R-aal_r]
  246 [kworker/R-clari]
  247 [kworker/R-hdr_c]
  248 [kworker/R-hdr_h]
  249 [kworker/R-hdr_c]
  250 [kworker/R-hdr_h]
  251 [kworker/R-tdshp]
  252 [kworker/R-tdshp]
  253 [kworker/R-mtk_o]
  254 [oddmr_sof]
  255 [mtk_dp_video_trigger]
  256 [kworker/R-mtk_d]
  257 [dpc-monitor]
  258 [vidle-timeout-thread]
  259 [disp_feature:0]
  260 [disp_lhbm_fod:0]
  261 [card0-crtc0]
  262 [card0-crtc1]
  263 [card0-crtc2]
  264 [card0-crtc3]
  265 [kworker/R-cmdq_]
  266 [kworker/R-cmdq_]
  267 [kworker/R-cmdq_]
  268 [kworker/R-cmdq_]
  269 [kworker/R-cmdq_]
  270 [kworker/R-cmdq_]
  271 [kworker/R-cmdq_]
  272 [kworker/R-cmdq_]
  273 [mtk_drm_disp_idlemgr-0]
  274 [dis_ki-0]
  275 [enable_vblank]
  276 [mtk_drm_cwb]
  277 [irq/159-esd_err_irq]
  278 [err_flag_chk]
  279 [mtk_drm_fake_vsync:0]
  280 [ddp_trig]
  281 [ddp_trig_d]
  282 [ddp_cmdq_trig]
  283 [pf_release_thread]
  284 [sf_pf_release_thread]
  285 [signal_fence]
  286 [mode_switch]
  287 [smi_info_dump_thread]
  288 [kworker/R-cmdq_]
  289 [kworker/R-cmdq_]
  290 [kworker/R-cmdq_]
  291 [kworker/R-cmdq_]
  292 [pf_release_thread]
  293 [sf_pf_release_thread]
  294 [signal_fence]
  295 [mode_switch]
  296 [smi_info_dump_thread]
  297 [mtk_drm_bind]
  298 [chist_read_4]
  299 [chist_read_3]
  300 [kworker/R-pure_]
  301 [kworker/R-aal_r]
  302 [aal_sof_0]
  303 [mitee_worker/0]
  304 [mitee_worker/1]
  305 [kworker/R-xsphy]
  308 [kworker/R-cpu_f]
  309 [kworker/R-cpu_c]
  310 [kworker/R-dram_]
  311 [kworker/R-vcore]
  312 [kworker/R-usb_a]
  313 [irq/454-11201000.usb0]
  314 [kworker/R-otg_s]
  316 [kworker/R-mpbe_]
  317 [spi0]
  318 [spi1]
  321 [spi2]
  322 [spi3]
  323 [spi4]
  324 [spi5]
  325 [spi6]
  326 [spi7]
  327 [irq/44-5-0034]
  330 [irq/465-11f01000.i2c:mt6375@34:auxadc]
  331 [charger_thread]
  332 [kworker/R-11f01]
  333 [tcpc_timer_type_c_port0]
  334 [attach_thread]
  335 [irq/113-sc858x-standalone-irq]
  336 [kworker/R-lbat_]
  337 [irq/465-11f01000.i2c:mt6375@34:mtk-gauge]
  338 [mtk_bat_irq_thread]
  339 [fgauge gct]
  340 [fgauge]
  342 [kworker/R-extco]
  343 [tcpc_event_type_c_port0]
  344 [battery_manager_thread]
  345 [power_misc_thread]
  346 [scsi_eh_0]
  347 [kworker/R-scsi_]
  348 [kworker/R-ufs_m]
  349 [kworker/R-ufs_m]
  350 [kworker/R-ufs_e]
  351 [kworker/R-ufs_c]
  352 [kworker/R-ufs_c]
  353 [irq/504-smpu]
  354 [irq/505-smpu]
  355 [irq/506-smpu]
  356 [irq/507-smpu]
  357 [irq/508-emislb]
  359 [block2mtd_retry]
  364 [f2fs_ckpt-259:0]
  365 [f2fs_flush-259:0]
  366 [f2fs_discard-259:0]
  367 [f2fs_gc-259:0]
  368 [kworker/R-kdmfl]
  369 [kworker/R-kdmfl]
  370 [kworker/R-kdmfl]
  371 [kworker/R-kdmfl]
  372 [kworker/R-kdmfl]
  373 [kworker/R-kdmfl]
  374 [kworker/R-kdmfl]
  375 [kworker/R-kdmfl]
  376 [kworker/R-kdmfl]
  377 [kworker/R-kdmfl]
  378 [kworker/R-kdmfl]
  379 [kworker/R-kdmfl]
  380 [kworker/R-kdmfl]
  381 [kworker/R-kdmfl]
  382 [kworker/R-kdmfl]
  383 [kworker/R-kdmfl]
  384 [kworker/R-kdmfl]
  385 [kworker/R-kdmfl]
  387 [kworker/R-kdmfl]
  388 [kworker/R-kveri]
  389 [kworker/R-kdmfl]
  390 [kworker/R-kveri]
  391 [kworker/R-kdmfl]
  392 [kworker/R-kveri]
  393 [kworker/R-kdmfl]
  394 [kworker/R-kveri]
  395 [kworker/R-kdmfl]
  396 [kworker/R-kveri]
  397 [kworker/R-kdmfl]
  398 [kworker/R-kveri]
  399 [kworker/R-kdmfl]
  400 [kworker/R-kveri]
  401 [kworker/R-kdmfl]
  402 [kworker/R-kveri]
  403 [kworker/R-kdmfl]
  404 [kworker/R-kveri]
  409 init
  410 ueventd
  462 [kworker/R-kdmfl]
  463 [kworker/R-kdmfl]
  464 [kworker/R-kdmfl]
  465 [kworker/R-kdmfl]
  466 [kworker/R-kdmfl]
  467 [kworker/R-kdmfl]
  468 [kworker/R-kdmfl]
  469 [kworker/R-kdmfl]
  470 [kworker/R-kdmfl]
  472 [kworker/R-kdmfl]
  475 [kworker/R-kdmfl]
  476 [kworker/R-kdmfl]
  477 [kworker/R-kdmfl]
