==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 37880 (C:\Users\Tom\Documents\DawnwoodInteractive\Dawnwood_Interactive_RTX5070Ti_v0.3\Dawnwood_Interactive_RTX5070Ti_v0.3\build\dawnwood.exe)
==PROF== Disconnected from process 37880
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","byte","4.380.416"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_write.sum","byte","3.297.792"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","12,24"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","93.408"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","59,14"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","45,38"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","84,93"
"0","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","51,58"
"1","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","byte","4.334.336"
"1","37880","dawnwood.exe","127.0.0.1","evolve_window(const Page *, Control *, Hot, Stage *)","1","13","(128, 1, 1)","(512, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_write.sum","byte","1.517.056"
