lane,log10_acid_activity,log10_base_activity,auxiliary_0,auxiliary_1,maximum_normalized_violation
0,-2.8000001907348633,-2.5999999046325684,0.0,-1.2930414317230962e-38,2.0019753042674663e-07
1,-2.8539154529571533,-2.6539151668548584,1.362259690407192e-38,-1.5419969576741218e-38,2.0019753042674663e-07
2,-2.934018135070801,-2.734017848968506,0.0,-0.0,2.0019753042674663e-07
3,-2.66043758392334,-2.460437536239624,0.0,-1.5259520902576026e-38,3.161013638317052e-08
4,-2.8980400562286377,-2.698040008544922,0.0,-1.2946581097613877e-38,3.161013638317052e-08
5,-2.765981674194336,-2.56598162651062,0.0,-1.4039088031041613e-38,3.161013638317052e-08
6,-2.748990058898926,-2.54899001121521,1.6171152434124108e-38,-0.0,3.161013638317052e-08
7,-2.960479736328125,-2.76047945022583,1.2002638426075394e-38,-0.0,2.0019753042674663e-07
8,-2.8554749488830566,-2.6554746627807617,1.6857065611635677e-38,-0.0,2.0019753042674663e-07
9,-2.843148708343506,-2.643148422241211,1.3101676811645348e-38,-0.0,2.0019753042674663e-07
10,-2.8340368270874023,-2.6340365409851074,1.5466737912988059e-38,-0.0,2.0019753042674663e-07
11,-2.82659649848938,-2.626596212387085,0.0,-0.0,2.0019753042674663e-07
12,-2.7520782947540283,-2.5520782470703125,0.0,-0.0,3.161013638317052e-08
13,-2.683751106262207,-2.483750820159912,0.0,-0.0,2.0019753042674663e-07
14,-2.689847707748413,-2.489847421646118,0.0,-0.0,2.0019753042674663e-07
15,-2.831017255783081,-2.6310172080993652,0.0,-1.6834772354366733e-38,3.161013638317052e-08
16,-2.799912691116333,-2.599912405014038,0.0,-1.277700296395361e-38,2.0019753042674663e-07
17,-2.73940110206604,-2.539401054382324,1.3237102499133091e-38,-1.5343371800084295e-38,3.161013638317052e-08
18,-2.7693796157836914,-2.5693795680999756,1.6128161998537087e-38,-1.3406735283433468e-38,3.161013638317052e-08
19,-2.6731250286102295,-2.4731247425079346,1.315985732258565e-38,-0.0,2.0019753042674663e-07
20,-2.677011013031006,-2.477010726928711,0.0,-1.7128511137160037e-38,2.0019753042674663e-07
21,-2.802842378616333,-2.602842330932617,0.0,-0.0,3.161013638317052e-08
22,-2.7246949672698975,-2.5246946811676025,1.7181660986613413e-38,-1.8198486592579894e-38,2.0019753042674663e-07
23,-2.7034928798675537,-2.503492832183838,0.0,-1.2167354054064455e-38,3.161013638317052e-08
24,-2.783745288848877,-2.583745002746582,1.1813488356763902e-38,-1.5413915967375335e-38,2.0019753042674663e-07
25,-2.8171346187591553,-2.6171345710754395,1.2189954195697085e-38,-1.3864065852847444e-38,3.161013638317052e-08
26,-2.844712257385254,-2.644711971282959,0.0,-0.0,2.0019753042674663e-07
27,-2.860685110092163,-2.6606850624084473,1.2603928590624851e-38,-1.8059163894062864e-38,3.161013638317052e-08
28,-2.875739574432373,-2.6757395267486572,1.3077484794957244e-38,-0.0,3.161013638317052e-08
29,-2.785931348800659,-2.5859310626983643,1.2234486059594864e-38,-0.0,2.0019753042674663e-07
30,-2.712817907333374,-2.512817859649658,1.2343287076260435e-38,-0.0,3.161013638317052e-08
31,-2.749197244644165,-2.549197196960449,1.399629097464267e-38,-0.0,3.161013638317052e-08
32,-2.845614433288574,-2.6456143856048584,1.344622387415814e-38,-0.0,3.161013638317052e-08
33,-2.9171459674835205,-2.7171459197998047,0.0,-0.0,3.161013638317052e-08
34,-2.7836058139801025,-2.5836055278778076,0.0,-1.2291950507019896e-38,2.0019753042674663e-07
35,-2.829040288925171,-2.629040002822876,1.5172085483596015e-38,-1.34166088324131e-38,2.0019753042674663e-07
36,-2.8013417720794678,-2.601341485977173,1.2911660739882903e-38,-1.3715603885746087e-38,2.0019753042674663e-07
37,-2.947267770767212,-2.747267484664917,1.3158601759161615e-38,-0.0,2.0019753042674663e-07
38,-2.814819812774658,-2.6148195266723633,0.0,-1.6748543453364506e-38,2.0019753042674663e-07
39,-2.7788212299346924,-2.5788211822509766,1.5997845445250272e-38,-1.4059916931415337e-38,3.161013638317052e-08
40,-2.8579068183898926,-2.6579067707061768,1.3903801072101838e-38,-1.727274678809299e-38,3.161013638317052e-08
41,-2.8523237705230713,-2.6523237228393555,1.7174796025436686e-38,-0.0,3.161013638317052e-08
42,-2.758265733718872,-2.5582656860351562,0.0,-1.813498535137055e-38,3.161013638317052e-08
43,-2.784658908843994,-2.5846588611602783,0.0,-1.7127544241219653e-38,3.161013638317052e-08
44,-2.759427785873413,-2.559427499771118,1.237726436012492e-38,-1.7594626446646865e-38,2.0019753042674663e-07
45,-2.7732908725738525,-2.5732905864715576,0.0,-0.0,2.0019753042674663e-07
46,-2.8301331996917725,-2.6301329135894775,1.5568016759497135e-38,-1.6654241671909303e-38,2.0019753042674663e-07
47,-2.7988626956939697,-2.598862409591675,0.0,-1.5121935814154758e-38,2.0019753042674663e-07
48,-2.8201003074645996,-2.6201000213623047,1.3959435423732462e-38,-0.0,2.0019753042674663e-07
49,-2.68255877494812,-2.482558488845825,0.0,-1.688904043999464e-38,2.0019753042674663e-07
50,-2.6578197479248047,-2.4578194618225098,0.0,-0.0,2.0019753042674663e-07
51,-2.7939083576202393,-2.5939083099365234,1.3410748602235294e-38,-0.0,3.161013638317052e-08
52,-2.7812869548797607,-2.581286907196045,0.0,-0.0,3.161013638317052e-08
53,-2.914524793624878,-2.714524507522583,1.4119752375842007e-38,-0.0,2.0019753042674663e-07
54,-2.7099592685699463,-2.5099589824676514,1.8126241248953164e-38,-1.5121375294769029e-38,2.0019753042674663e-07
55,-2.6884543895721436,-2.4884543418884277,0.0,-1.6717642019629215e-38,3.161013638317052e-08
56,-2.8107831478118896,-2.6107828617095947,1.7495324832270951e-38,-1.5857000936600985e-38,2.0019753042674663e-07
57,-2.6627700328826904,-2.4627699851989746,0.0,-1.776217830272772e-38,3.161013638317052e-08
58,-2.7616002559661865,-2.5615999698638916,0.0,-0.0,2.0019753042674663e-07
59,-2.8294849395751953,-2.6294846534729004,0.0,-1.2432458704037745e-38,2.0019753042674663e-07
60,-2.8061683177948,-2.606168031692505,0.0,-1.3390857170534203e-38,2.0019753042674663e-07
61,-2.745669364929199,-2.5456693172454834,1.5805926410173274e-38,-0.0,3.161013638317052e-08
62,-2.7978193759918213,-2.5978193283081055,1.4260240954681356e-38,-0.0,3.161013638317052e-08
63,-2.9407854080200195,-2.7407851219177246,0.0,-0.0,2.0019753042674663e-07
64,-2.8601996898651123,-2.6601996421813965,1.7077241830245785e-38,-1.748815719062593e-38,3.161013638317052e-08
65,-2.92403507232666,-2.7240350246429443,0.0,-1.3270564105162704e-38,3.161013638317052e-08
66,-2.884089469909668,-2.684089422225952,1.2637442044697644e-38,-1.636989018752851e-38,3.161013638317052e-08
67,-2.719541311264038,-2.5195412635803223,1.5718561056116479e-38,-1.8336612582208392e-38,3.161013638317052e-08
68,-2.7954187393188477,-2.595418691635132,1.4332074316559575e-38,-1.753857030417848e-38,3.161013638317052e-08
69,-2.8221957683563232,-2.6221957206726074,0.0,-0.0,3.161013638317052e-08
70,-2.8563590049743652,-2.6563589572906494,1.2405614029356675e-38,-0.0,3.161013638317052e-08
71,-2.7349658012390137,-2.534965753555298,0.0,-1.1971388069022486e-38,3.161013638317052e-08
72,-2.896726131439209,-2.696726083755493,1.4779096934469977e-38,-1.271263151639792e-38,3.161013638317052e-08
73,-2.790884494781494,-2.590884208679199,0.0,-1.2883393747260543e-38,2.0019753042674663e-07
74,-2.8069067001342773,-2.6069064140319824,0.0,-0.0,2.0019753042674663e-07
75,-2.932603359222412,-2.732603073120117,0.0,-1.2519311182856597e-38,2.0019753042674663e-07
76,-2.8330252170562744,-2.6330251693725586,1.2751206460523854e-38,-1.300492696177297e-38,3.161013638317052e-08
77,-2.8272948265075684,-2.6272947788238525,0.0,-0.0,3.161013638317052e-08
78,-2.7285478115081787,-2.528547763824463,1.2380784421867303e-38,-1.4569955941266427e-38,3.161013638317052e-08
79,-2.818082809448242,-2.6180825233459473,1.2854856304034568e-38,-1.2014646152616193e-38,2.0019753042674663e-07
80,-2.9556124210357666,-2.755612373352051,1.8222000380811265e-38,-1.8065870508513122e-38,3.161013638317052e-08
81,-2.872188091278076,-2.6721880435943604,0.0,-0.0,3.161013638317052e-08
82,-2.8135039806365967,-2.613503932952881,0.0,-0.0,3.161013638317052e-08
83,-2.746858835220337,-2.546858549118042,1.2805471743554833e-38,-1.369961787286507e-38,2.0019753042674663e-07
84,-2.8695149421691895,-2.6695148944854736,0.0,-1.1996695519288193e-38,3.161013638317052e-08
85,-2.6650047302246094,-2.4650046825408936,1.57612922514876e-38,-0.0,3.161013638317052e-08
86,-2.7456283569335938,-2.545628309249878,0.0,-0.0,3.161013638317052e-08
87,-2.80646014213562,-2.606459856033325,0.0,-0.0,2.0019753042674663e-07
88,-2.6785333156585693,-2.4785330295562744,0.0,-1.431842566951705e-38,2.0019753042674663e-07
89,-2.8082449436187744,-2.6082446575164795,0.0,-0.0,2.0019753042674663e-07
90,-2.7805991172790527,-2.580598831176758,0.0,-0.0,2.0019753042674663e-07
91,-2.7508294582366943,-2.5508291721343994,1.3648617615255967e-38,-1.3313578362823618e-38,2.0019753042674663e-07
92,-2.797999858856201,-2.5979998111724854,1.379296957396146e-38,-0.0,3.161013638317052e-08
93,-2.6370034217834473,-2.4370031356811523,0.0,-0.0,2.0019753042674663e-07
94,-2.699047327041626,-2.49904727935791,0.0,-1.836664801349273e-38,3.161013638317052e-08
95,-2.9289281368255615,-2.7289278507232666,1.2958473917680602e-38,-1.6727647290664494e-38,2.0019753042674663e-07
96,-2.800340414047241,-2.6003401279449463,1.3623933742806886e-38,-0.0,2.0019753042674663e-07
97,-2.690704822540283,-2.4907047748565674,1.7078081208025916e-38,-0.0,3.161013638317052e-08
98,-2.8616058826446533,-2.6616058349609375,0.0,-0.0,3.161013638317052e-08
99,-2.6909308433532715,-2.4909307956695557,1.1873567627123364e-38,-1.3148281195971863e-38,3.161013638317052e-08
100,-2.9224472045898438,-2.722446918487549,0.0,-0.0,2.0019753042674663e-07
101,-2.941462516784668,-2.741462469100952,1.2778562609144403e-38,-1.4999100793368974e-38,3.161013638317052e-08
102,-2.8980302810668945,-2.6980299949645996,0.0,-1.2483283799338806e-38,2.0019753042674663e-07
103,-2.738086462020874,-2.538086414337158,0.0,-0.0,3.161013638317052e-08
104,-2.9060912132263184,-2.7060909271240234,1.5266977211704699e-38,-0.0,2.0019753042674663e-07
105,-2.7322137355804443,-2.5322134494781494,1.3843085612239573e-38,-1.5650116033924997e-38,2.0019753042674663e-07
106,-2.6879115104675293,-2.4879114627838135,1.8427013148738914e-38,-1.8138488597531363e-38,3.161013638317052e-08
107,-2.745875597000122,-2.5458755493164062,1.6167943460640804e-38,-0.0,3.161013638317052e-08
108,-2.6912786960601807,-2.4912784099578857,0.0,-1.2003692202520566e-38,2.0019753042674663e-07
109,-2.9057118892669678,-2.705711603164673,1.4734672970553952e-38,-1.8228516418670375e-38,2.0019753042674663e-07
110,-2.7781760692596436,-2.5781757831573486,0.0,-0.0,2.0019753042674663e-07
111,-2.9491841793060303,-2.7491838932037354,1.776511402301048e-38,-0.0,2.0019753042674663e-07
112,-2.894017457962036,-2.6940174102783203,1.192847050095561e-38,-1.370104719729868e-38,3.161013638317052e-08
113,-2.8446712493896484,-2.6446712017059326,1.3669638493519304e-38,-1.3590804244513318e-38,3.161013638317052e-08
114,-2.9390459060668945,-2.7390456199645996,0.0,-1.4665154553738798e-38,2.0019753042674663e-07
