timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/09/24 14:57:58.384, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 0, 12227, 46, 20.85, [N/A], 0, 14001, P0, Active, Not Active, Not Active
2026/09/24 14:57:59.398, NVIDIA GeForce RTX 5070 Ti Laptop GPU, [Unknown Error], [Unknown Error], 0, 12227, 45, 36117.25, [N/A], 180, 405, P0, Active, Not Active, Not Active
2026/09/24 14:58:00.987, NVIDIA GeForce RTX 5070 Ti Laptop GPU, [Unknown Error], [Unknown Error], 0, 12227, 45, 25896.41, [N/A], 180, 405, P0, Active, Not Active, Not Active
2026/09/24 14:58:02.564, NVIDIA GeForce RTX 5070 Ti Laptop GPU, [Unknown Error], [Unknown Error], 0, 12227, 45, 20218.91, [N/A], 180, 405, P0, Active, Not Active, Not Active
2026/09/24 14:58:04.133, NVIDIA GeForce RTX 5070 Ti Laptop GPU, [Unknown Error], [Unknown Error], 0, 12227, 45, 16528.19, [N/A], 180, 405, P0, Active, Not Active, Not Active
2026/09/24 14:58:05.755, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 84, 18, 579, 12227, 55, 60.08, [N/A], 2002, 14001, P0, Not Active, Not Active, Not Active
2026/09/24 14:58:06.760, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 21, 579, 12227, 58, 120.15, [N/A], 2362, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:07.770, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 21, 579, 12227, 59, 118.11, [N/A], 2452, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:08.776, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 22, 579, 12227, 60, 118.82, [N/A], 2505, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:09.784, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 60, 120.25, [N/A], 2535, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:10.790, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 61, 119.34, [N/A], 2557, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:11.800, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 61, 119.53, [N/A], 2572, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:12.810, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 62, 119.66, [N/A], 2580, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:13.821, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 62, 119.97, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:14.825, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 24, 579, 12227, 63, 120.01, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:15.840, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 63, 119.90, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:16.853, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 64, 119.90, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:17.867, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 64, 119.68, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:18.881, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 64, 119.75, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:19.882, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 64, 119.69, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:20.895, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 65, 119.66, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:21.909, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 65, 119.75, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:22.920, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 65, 119.66, [N/A], 2595, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:23.925, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 66, 119.77, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:24.926, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 66, 119.76, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 14:58:25.927, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 23, 579, 12227, 66, 119.85, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
