lane,E,ES,S,P,maximum_normalized_violation
0,7.599995136260986,2.3999977111816406,77.80000686645508,19.800000190734863,5.057621821307283e-07
1,7.668481469154358,2.3314838111400604,78.03071022033691,19.63782548904419,2.4550539257595773e-06
2,7.645263075828552,2.3546673357486725,77.72776126861572,19.91761326789856,4.920644563646878e-06
3,7.558529376983643,2.4415230751037598,77.72918224334717,19.82926368713379,3.7089226689586747e-06
4,7.552959322929382,2.447001039981842,77.7954626083374,19.757566452026367,2.802765425974453e-06
5,7.664728164672852,2.3352861404418945,77.88867950439453,19.776020050048828,1.0115243642614567e-06
6,7.4400633573532104,2.5600191950798035,77.68351554870605,19.756414890289307,5.837338518758823e-06
7,7.689486742019653,2.310422509908676,77.76486396789551,19.924776554107666,6.416857685783616e-06
8,7.405667304992676,2.594403028488159,77.73629665374756,19.66925859451294,4.973328124285495e-06
9,7.817838191986084,2.1821002662181854,77.85800457000732,19.95993733406067,4.351662108749808e-06
10,7.60050892829895,2.3995012044906616,77.50762462615967,20.09287118911743,7.164964246851985e-07
11,7.611654996871948,2.3883983492851257,77.99953937530518,19.61203098297119,3.7721429417250154e-06
12,7.605294585227966,2.3947036266326904,77.68433094024658,19.920973777770996,4.817786078843332e-07
13,7.527803182601929,2.4722059071063995,77.61871814727783,19.909067153930664,6.42739439791134e-07
14,7.476389408111572,2.523658573627472,77.76001453399658,19.7162926197052,3.3928213051269694e-06
15,7.596554756164551,2.4034129083156586,77.47185707092285,20.124752521514893,2.286466531716001e-06
16,7.648515701293945,2.3514777421951294,77.83471584320068,19.813812971115112,4.6361533361983434e-07
17,7.631471157073975,2.368510067462921,77.9608154296875,19.670687913894653,1.327625728093162e-06
18,7.525609135627747,2.4744363129138947,77.62911796569824,19.89641308784485,3.2136971989556696e-06
19,7.568620443344116,2.4313920736312866,78.02972793579102,19.538875818252563,8.850838187287746e-07
20,7.523204684257507,2.4768422544002533,77.7745008468628,19.748622179031372,3.3190643202329047e-06
21,7.532709836959839,2.467215210199356,77.6747179031372,19.858115911483765,5.299966200244924e-06
22,7.481306791305542,2.518763542175293,77.65015602111816,19.831035137176514,4.973328124285495e-06
23,7.647301554679871,2.35270157456398,77.82525062561035,19.8220431804657,2.6669887222168447e-07
24,7.5127458572387695,2.4872300028800964,77.88228511810303,19.6304988861084,1.706947364691208e-06
25,7.523515224456787,2.4764449894428253,77.81279563903809,19.710789918899536,2.8133021381021765e-06
26,7.381197214126587,2.618836760520935,77.79348850250244,19.58765745162964,2.4023703651209597e-06
27,7.565877437591553,2.4341100454330444,77.93662071228027,19.629273414611816,8.850838187287746e-07
28,7.536405324935913,2.463570386171341,78.03417682647705,19.502267837524414,1.7174840768189317e-06
29,7.720109224319458,2.2798481583595276,77.901930809021,19.8182475566864,3.013499668528923e-06
30,7.596578001976013,2.403378337621689,77.77308464050293,19.823567867279053,3.0872566534229878e-06
