lane,E,ES,S,P,maximum_normalized_violation
0,7.599995136260986,2.3999950289726257,77.80000686645508,19.80000138282776,6.954230004297515e-07
1,7.668483853340149,2.3314858973026276,78.03070545196533,19.637826681137085,2.138952561927872e-06
2,7.645271420478821,2.354670912027359,77.72775173187256,19.917612075805664,4.0777075934289975e-06
3,7.5585174560546875,2.4415190517902374,77.72918701171875,19.829275608062744,2.581494471292259e-06
4,7.552964091300964,2.4470026791095734,77.7954626083374,19.75756049156189,2.349686804482342e-06
5,7.664722204208374,2.3352864384651184,77.88868427276611,19.776028394699097,6.111293034079634e-07
6,7.440046072006226,2.5600162148475647,77.68352031707764,19.756429195404053,4.404345669388426e-06
7,7.689499855041504,2.310425490140915,77.76485443115234,19.924767017364502,5.278892775989477e-06
8,7.405655384063721,2.594399154186249,77.7363109588623,19.669262170791626,3.856436638746804e-06
9,7.817845940589905,2.1821019053459167,77.85799026489258,19.95993733406067,3.6878492447032275e-06
10,7.600505948066711,2.399498224258423,77.50762939453125,20.09286642074585,3.44127577060238e-07
11,7.611642479896545,2.388395220041275,77.9995346069336,19.612042903900146,2.6657881683140474e-06
12,7.605290412902832,2.3947028815746307,77.684326171875,19.920977354049683,4.741520457475578e-07
13,7.527797222137451,2.4722036719322205,77.61871814727783,19.909071922302246,3.6133395591324993e-07
14,7.476378679275513,2.52365380525589,77.76002407073975,19.716298580169678,2.2970032438437246e-06
15,7.596555948257446,2.40341454744339,77.47184753417969,20.124757289886475,2.0862690012892545e-06
16,7.6485127210617065,2.3514777421951294,77.83470630645752,19.813820123672485,6.743495761743044e-07
17,7.631469368934631,2.3685115575790405,77.96081066131592,19.670692682266235,1.348699152348609e-06
18,7.525597810745239,2.4744337797164917,77.62912273406982,19.896421432495117,2.2337829710773835e-06
19,7.568614482879639,2.4313884973526,78.0297327041626,19.53887701034546,2.1073424255447014e-07
20,7.523193955421448,2.476837635040283,77.77451038360596,19.748626947402954,2.2337829710773835e-06
