lane,E,ES,S,P,maximum_normalized_violation
0,7.599994540214539,2.399999648332596,77.80000686645508,19.80000376701355,5.936200704289106e-07
1,7.6684898138046265,2.3314929008483887,78.03069591522217,19.63782787322998,1.2222586068159268e-06
2,7.64528751373291,2.354678511619568,77.72773742675781,19.9176025390625,2.4023703651209597e-06
3,7.55850613117218,2.441515177488327,77.72919178009033,19.82928156852722,1.5067498342644615e-06
4,7.552974820137024,2.4470047652721405,77.79545783996582,19.757553339004517,1.4435295614981204e-06
5,7.664720416069031,2.335285246372223,77.88868427276611,19.776026010513306,4.0039506085349325e-07
6,7.440028786659241,2.5600072741508484,77.68353462219238,19.756439924240112,2.5498843349090888e-06
7,7.689520716667175,2.3104339838027954,77.76483535766602,19.924755096435547,3.203160486827946e-06
8,7.405640482902527,2.594391703605652,77.73632049560547,19.669272899627686,2.2759298195882775e-06
9,7.817858457565308,2.1821095049381256,77.85797595977783,19.9599289894104,2.265393107460554e-06
10,7.600502967834473,2.3994985222816467,77.50762939453125,20.09286880493164,1.892701673831309e-07
11,7.61163055896759,2.3883922398090363,77.99954414367676,19.612048864364624,1.6121169555416966e-06
12,7.605295181274414,2.3947013914585114,77.68433094024658,19.9209725856781,2.839052510746963e-07
13,7.527796030044556,2.47220516204834,77.61872291564941,19.90907311439514,8.429369702178806e-08
14,7.476365566253662,2.5236541032791138,77.76001930236816,19.716315269470215,1.390846000859503e-06
15,7.596567273139954,2.4034148454666138,77.4718427658081,20.1247501373291,1.2644054553268208e-06
16,7.648515105247498,2.3514793813228607,77.8347110748291,19.813815355300903,3.8985834872576977e-07
17,7.631475329399109,2.368514835834503,77.96081066131592,19.670687913894653,7.742870483855355e-07
18,7.525588274002075,2.4744299054145813,77.6291275024414,19.89642858505249,1.285478879582268e-06
19,7.568615078926086,2.4313853681087494,78.0297327041626,19.538874626159668,4.2155628189879156e-07
20,7.523183822631836,2.4768345057964325,77.77451515197754,19.748634099960327,1.2960155917099914e-06
21,7.532736659049988,2.4672266840934753,77.67468929290771,19.858100414276123,2.5920311834199827e-06
