lane,E,ES,S,P,maximum_packed_normalized_violation,maximum_authored_normalized_violation
0,7.599998712539673,2.4000009894371033,77.80000686645508,19.800000190734863,4.645722290313213e-07,4.645722290313213e-07
1,7.668505311012268,2.331494837999344,78.03069591522217,19.637815952301025,3.8714352419276774e-07,3.8714352419276774e-07
2,7.645311951637268,2.354687750339508,77.72773265838623,19.91758704185486,4.301594713252975e-07,4.301594713252975e-07
3,7.55849301815033,2.4415072798728943,77.72919654846191,19.829288721084595,4.301594713252975e-07,4.301594713252975e-07
4,7.552987337112427,2.4470123648643494,77.79544353485107,19.757550954818726,3.957467136192737e-07,3.957467136192737e-07
5,7.6647162437438965,2.3352836072444916,77.88868427276611,19.7760272026062,2.839052510746963e-07,2.839052510746963e-07
6,7.440004348754883,2.559995949268341,77.68354415893555,19.756455421447754,2.580956827951785e-07,2.580956827951785e-07
7,7.689552903175354,2.310446798801422,77.76481628417969,19.924737215042114,2.1073424255447014e-08,2.1073424255447014e-08
8,7.4056196212768555,2.5943803787231445,77.73633480072021,19.669281244277954,2.064765462361428e-07,2.064765462361428e-07
9,7.817881107330322,2.182118743658066,77.85797595977783,19.959911108016968,3.3552438763373206e-07,3.3552438763373206e-07
10,7.600505352020264,2.399495244026184,77.50762939453125,20.09286880493164,3.785403347662618e-07,3.785403347662618e-07
11,7.611613869667053,2.3883861303329468,77.99955368041992,19.61206078529358,3.44127577060238e-08,3.44127577060238e-08
12,7.60529637336731,2.3947033286094666,77.68433094024658,19.920973777770996,4.645722290313213e-07,4.645722290313213e-07
13,7.527797222137451,2.4722029268741608,77.61871814727783,19.909071922302246,4.0434990304577965e-07,4.0434990304577965e-07
14,7.476350665092468,2.5236493349075317,77.76002407073975,19.716325998306274,3.44127577060238e-08,3.44127577060238e-08
15,7.596577405929565,2.4034222960472107,77.4718427658081,20.124740600585938,3.269211982072261e-07,3.269211982072261e-07
16,7.648520469665527,2.351479232311249,77.8347110748291,19.813809394836426,2.1073424255447014e-08,2.1073424255447014e-08
17,7.63148307800293,2.3685167729854584,77.96080589294434,19.670681953430176,2.6669887222168447e-07,2.6669887222168447e-07
18,7.525575757026672,2.4744239449501038,77.62913227081299,19.89643692970276,3.957467136192737e-07,3.957467136192737e-07
19,7.568612098693848,2.431386560201645,78.02972793579102,19.538882970809937,1.4625422025060114e-07,1.4625422025060114e-07
20,7.523168921470642,2.476831078529358,77.77451992034912,19.748646020889282,1.72063788530119e-07,1.72063788530119e-07
21,7.532762289047241,2.467237561941147,77.67467975616455,19.858087301254272,2.6669887222168447e-07,2.6669887222168447e-07
22,7.48125433921814,2.5187456607818604,77.65017986297607,19.831072092056274,1.376510308240952e-07,1.376510308240952e-07
23,7.647299766540527,2.3527006804943085,77.82525539398193,19.822040796279907,1.8066697795662496e-07,1.8066697795662496e-07
24,7.512763142585754,2.4872365593910217,77.88228511810303,19.630483388900757,2.925084405012023e-07,2.925084405012023e-07
25,7.523543834686279,2.476455867290497,77.81277656555176,19.710772037506104,2.580956827951785e-07,2.580956827951785e-07
26,7.3811739683151245,2.6188263297080994,77.79350280761719,19.58766460418701,3.6133395591324993e-07,3.6133395591324993e-07
27,7.56588339805603,2.434116303920746,77.93661594390869,19.629273414611816,3.269211982072261e-07,3.269211982072261e-07
28,7.536422610282898,2.463577091693878,78.03417205810547,19.502252340316772,8.60318942650595e-08,8.60318942650595e-08
29,7.7201396226882935,2.2798600792884827,77.90192127227783,19.818224906921387,3.6133395591324993e-07,3.6133395591324993e-07
30,7.596610188484192,2.4033895134925842,77.77307033538818,19.823545217514038,2.925084405012023e-07,2.925084405012023e-07
31,7.484542727470398,2.515456974506378,77.39682197570801,20.08772373199463,1.548574096771071e-07,1.548574096771071e-07
