lane,v_in,v_A,v_B,v_out,maximum_normalized_violation
0,8.334933519363403,5.330134630203247,3.0047979950904846,8.33493173122406,5.16191365590357e-08
1,8.256137371063232,5.250711441040039,3.0054250359535217,8.25613558292389,5.16191365590357e-08
2,8.26515018939972,5.261511206626892,3.0036380887031555,8.265148401260376,5.16191365590357e-08
3,8.447363376617432,5.4416823387146,3.0056801438331604,8.447361588478088,5.16191365590357e-08
4,8.242679834365845,5.238738656044006,3.0039405822753906,8.24267864227295,3.44127577060238e-08
5,8.348076939582825,5.342181324958801,3.005894422531128,8.348075151443481,6.88255154120476e-08
6,8.309717774391174,5.304617881774902,3.0050987005233765,8.309715986251831,6.88255154120476e-08
7,8.256052732467651,5.252506136894226,3.0035459995269775,8.256051540374756,3.44127577060238e-08
8,8.181572556495667,5.176872611045837,3.0046987533569336,8.181570768356323,6.88255154120476e-08
9,8.37034523487091,5.365240573883057,3.0051037669181824,8.370343446731567,5.16191365590357e-08
10,8.357632160186768,5.353599786758423,3.004031479358673,8.357630372047424,5.16191365590357e-08
11,8.212406635284424,5.20601212978363,3.006393611431122,8.21240484714508,5.16191365590357e-08
12,8.413572907447815,5.408957004547119,3.0046147108078003,8.413571119308472,6.88255154120476e-08
13,8.475211262702942,5.470690727233887,3.0045193433761597,8.475209474563599,6.88255154120476e-08
14,8.389833569526672,5.384586453437805,3.0052459239959717,8.389831781387329,6.88255154120476e-08
15,8.401786088943481,5.398355722427368,3.0034297704696655,8.401784896850586,3.44127577060238e-08
16,8.337507843971252,5.33232569694519,3.0051809549331665,8.33750605583191,6.88255154120476e-08
17,8.37761402130127,5.372052192687988,3.0055609345436096,8.377612233161926,5.16191365590357e-08
18,8.35017740726471,5.345432758331299,3.004743456840515,8.350175619125366,6.88255154120476e-08
19,8.392719030380249,5.386528968811035,3.0061891674995422,8.392717242240906,5.16191365590357e-08
20,8.412834405899048,5.407282114028931,3.0055513978004456,8.412832617759705,5.16191365590357e-08
21,8.396835923194885,5.393443703651428,3.0033913254737854,8.396834135055542,5.16191365590357e-08
22,8.36327314376831,5.3582000732421875,3.0050721764564514,8.363271355628967,5.16191365590357e-08
23,8.437870144844055,5.432285666465759,3.0055832862854004,8.437868356704712,6.88255154120476e-08
24,8.323026895523071,5.3184860944747925,3.004539906978607,8.323025107383728,5.16191365590357e-08
25,8.319944739341736,5.315863490104675,3.004080355167389,8.319942951202393,5.16191365590357e-08
26,8.201633095741272,5.197257399559021,3.0043745040893555,8.201631307601929,6.88255154120476e-08
27,8.229264616966248,5.224395394325256,3.0048680305480957,8.229262828826904,6.88255154120476e-08
28,8.190798163414001,5.185929536819458,3.004867732524872,8.190796375274658,5.16191365590357e-08
29,8.381523489952087,5.376226902008057,3.005295693874359,8.381521701812744,5.16191365590357e-08
30,8.463178873062134,5.45871376991272,3.0044642090797424,8.46317708492279,5.16191365590357e-08
31,8.458186984062195,5.454748272895813,3.00343781709671,8.458185195922852,5.16191365590357e-08
32,8.357287049293518,5.35336971282959,3.0039164423942566,8.357285261154175,5.16191365590357e-08
33,8.132445812225342,5.127654075622559,3.0047908425331116,8.132444024085999,5.16191365590357e-08
34,8.365287780761719,5.361223220825195,3.004063665866852,8.365285992622375,5.16191365590357e-08
35,8.320711255073547,5.31676709651947,3.0039429664611816,8.320709466934204,6.88255154120476e-08
36,8.322159051895142,5.316215753555298,3.005942404270172,8.322157263755798,5.16191365590357e-08
37,8.267868757247925,5.264012813568115,3.003855347633362,8.26786756515503,3.44127577060238e-08
38,8.291743397712708,5.287274122238159,3.004468083381653,8.291741609573364,6.88255154120476e-08
39,8.341174721717834,5.337057113647461,3.004116415977478,8.341172933578491,6.88255154120476e-08
40,8.23979914188385,5.23553192615509,3.0042660236358643,8.239797353744507,6.88255154120476e-08
41,8.19312036037445,5.1874929666519165,3.0056264996528625,8.193118572235107,5.16191365590357e-08
42,8.470967411994934,5.467382073402405,3.0035844445228577,8.47096562385559,5.16191365590357e-08
43,8.319548964500427,5.315385460853577,3.004162311553955,8.319547176361084,6.88255154120476e-08
44,8.464652299880981,5.459646582603455,3.005005121231079,8.464651107788086,3.44127577060238e-08
45,8.400498628616333,5.396201014518738,3.0042967200279236,8.40049684047699,5.16191365590357e-08
46,8.277795910835266,5.272507071495056,3.0052876472473145,8.277794122695923,6.88255154120476e-08
47,8.314387202262878,5.3090500831604,3.0053359270095825,8.314385414123535,6.88255154120476e-08
48,8.356488347053528,5.350918173789978,3.005569279193878,8.356486558914185,5.16191365590357e-08
49,8.40469777584076,5.398913621902466,3.005783259868622,8.404695987701416,5.16191365590357e-08
50,8.406736850738525,5.40105938911438,3.005676567554474,8.406735062599182,5.16191365590357e-08
51,8.244532346725464,5.23936927318573,3.0051621794700623,8.24453055858612,5.16191365590357e-08
52,8.377161622047424,5.371644496917725,3.005516231060028,8.377159833908081,5.16191365590357e-08
53,8.260846734046936,5.256652235984802,3.004193603992462,8.260844945907593,5.16191365590357e-08
54,8.41290533542633,5.4083192348480225,3.0045849084854126,8.412903547286987,6.88255154120476e-08
55,8.409346342086792,5.403643846511841,3.0057016015052795,8.409344553947449,5.16191365590357e-08
56,8.314268589019775,5.309281349182129,3.004986345767975,8.314266800880432,5.16191365590357e-08
57,8.403199911117554,5.396960377693176,3.006238639354706,8.40319812297821,5.16191365590357e-08
58,8.452275395393372,5.448075532913208,3.004198968410492,8.452273607254028,5.16191365590357e-08
59,8.33400309085846,5.329041481018066,3.0049604177474976,8.334001302719116,6.88255154120476e-08
60,8.328027725219727,5.322315692901611,3.0057111382484436,8.328025937080383,5.16191365590357e-08
61,8.300048112869263,5.293533802032471,3.0065134167671204,8.30004632472992,5.16191365590357e-08
62,8.260140419006348,5.253233313560486,3.00690621137619,8.260138630867004,5.16191365590357e-08
63,8.224033117294312,5.220074653625488,3.0039578676223755,8.224031925201416,3.44127577060238e-08
64,8.242805004119873,5.237677097320557,3.0051270127296448,8.24280321598053,5.16191365590357e-08
65,8.197978734970093,5.194091200828552,3.003886640071869,8.19797694683075,5.16191365590357e-08
66,8.21363389492035,5.209219455718994,3.0044135451316833,8.213632106781006,5.16191365590357e-08
67,8.372015953063965,5.3653740882873535,3.0066409707069397,8.372014164924622,5.16191365590357e-08
68,8.293853402137756,5.287878513336182,3.005973696708679,8.293851613998413,6.88255154120476e-08
69,8.391624689102173,5.386999249458313,3.004624843597412,8.391623497009277,3.44127577060238e-08
70,8.187054991722107,5.181893706321716,3.005160093307495,8.187053203582764,6.88255154120476e-08
71,8.418928980827332,5.414303541183472,3.0046242475509644,8.418927192687988,6.88255154120476e-08
72,8.26573133468628,5.2617621421813965,3.003968596458435,8.265730142593384,3.44127577060238e-08
73,8.345869183540344,5.340687036514282,3.0051812529563904,8.345867395401001,5.16191365590357e-08
74,8.26324999332428,5.257353782653809,3.0058953166007996,8.263248205184937,5.16191365590357e-08
75,8.222466707229614,5.218742489814758,3.0037233233451843,8.222464919090271,5.16191365590357e-08
76,8.314805030822754,5.310500860214233,3.004303276538849,8.31480324268341,5.16191365590357e-08
77,8.235543370246887,5.230109691619873,3.0054324865341187,8.235541582107544,6.88255154120476e-08
78,8.374494314193726,5.36876380443573,3.005729615688324,8.374492526054382,5.16191365590357e-08
79,8.330569863319397,5.326367616653442,3.004201352596283,8.330568075180054,5.16191365590357e-08
80,8.143889307975769,5.139784812927246,3.0041033029556274,8.143887519836426,6.88255154120476e-08
