lane,state_pool,operator_pool,scratch_pool,staging_pool,maximum_normalized_violation
0,4.0,3.000000238418579,2.000000238418579,1.0000003576278687,4.172325134277344e-07
1,3.9708664417266846,2.8956832885742188,2.1334500312805176,1.0,0.0
2,3.86696457862854,2.917238235473633,2.0604348182678223,1.1553618907928467,0.0
3,4.109476089477539,3.053497552871704,1.8370267152786255,1.0,1.7881393432617188e-07
4,3.8597874641418457,3.0205533504486084,2.0693037509918213,1.050355315208435,0.0
5,4.101936340332031,2.9115116596221924,1.986552357673645,1.0,1.7881393432617188e-07
6,4.050921440124512,3.1091551780700684,1.8399235010147095,1.0,5.960464477539063e-08
7,3.8456244468688965,2.869844913482666,2.1022846698760986,1.182246446609497,2.384185791015625e-07
8,3.9715354442596436,3.0996029376983643,1.9288619756698608,1.0,1.7881393432617188e-07
9,4.053633213043213,2.7717881202697754,2.061802864074707,1.112776279449463,2.384185791015625e-07
10,4.032100200653076,2.966190814971924,1.8545453548431396,1.1471638679504395,1.1920928955078125e-07
11,4.101429462432861,2.8802895545959473,2.0182814598083496,1.0,2.384185791015625e-07
12,4.0269880294799805,3.0185375213623047,1.918076992034912,1.0363976955413818,1.1920928955078125e-07
13,4.0043864250183105,3.136206865310669,1.8571165800094604,1.0022902488708496,5.960464477539063e-08
14,4.011682033538818,3.1210508346557617,1.8672674894332886,1.0,1.7881393432617188e-07
15,3.9300754070281982,3.005481243133545,1.8689953088760376,1.195447564125061,0.0
16,4.045681953430176,2.9442667961120605,2.010051727294922,1.0,2.384185791015625e-07
17,3.9871315956115723,2.9807918071746826,2.032076358795166,1.0,0.0
18,4.068591594696045,3.0595703125,1.8690942525863647,1.0027437210083008,0.0
19,3.984011173248291,3.029693365097046,1.986295461654663,1.0,0.0
20,4.055079460144043,3.078737735748291,1.8661831617355347,1.0,1.7881393432617188e-07
21,3.7876698970794678,3.1249115467071533,1.9978580474853516,1.089560627937317,5.960464477539063e-08
22,4.0775227546691895,3.0957164764404297,1.8267608880996704,1.0,5.960464477539063e-08
23,4.073509216308594,2.9815354347229004,1.9449553489685059,1.0,0.0
24,3.8663272857666016,3.0980119705200195,2.035661220550537,1.0,2.384185791015625e-07
25,3.849856376647949,3.1015372276306152,2.0486063957214355,1.0,0.0
26,3.8616557121276855,3.1578519344329834,1.9804927110671997,1.0,1.7881393432617188e-07
27,3.9290904998779297,2.9880175590515137,2.082892417907715,1.0,2.384185791015625e-07
28,3.8561034202575684,3.007324695587158,2.1365723609924316,1.0,2.384185791015625e-07
29,4.02876091003418,2.8996756076812744,2.056704044342041,1.0148597955703735,1.7881393432617188e-07
30,3.9347634315490723,3.0826916694641113,1.9786512851715088,1.0038940906524658,2.384185791015625e-07
31,3.9214584827423096,3.1562623977661133,1.788413405418396,1.1338657140731812,0.0
32,3.8501136302948,2.9723408222198486,2.084181070327759,1.093364953994751,2.384185791015625e-07
33,4.014560699462891,2.9926235675811768,1.9928159713745117,1.0,1.1920928955078125e-07
34,3.8833260536193848,3.121647357940674,1.9805254936218262,1.0145015716552734,2.384185791015625e-07
35,3.780120611190796,3.0922510623931885,2.1276283264160156,1.0,0.0
36,4.044111728668213,2.8600220680236816,2.0958664417266846,1.0,1.1920928955078125e-07
37,3.859478712081909,2.837200880050659,2.1466784477233887,1.156642198562622,1.1920928955078125e-07
38,4.01801872253418,3.0769758224487305,1.8992102146148682,1.005795955657959,3.5762786865234375e-07
39,3.9596405029296875,3.165679931640625,1.8626198768615723,1.0120606422424316,4.76837158203125e-07
40,3.798466682434082,3.0798239707946777,2.1217098236083984,1.0,2.384185791015625e-07
41,4.135336399078369,2.946320056915283,1.9183440208435059,1.0,2.384185791015625e-07
42,3.869481086730957,3.0822677612304688,1.9247019290924072,1.1235491037368774,0.0
43,3.916438341140747,3.1732337474823,1.9103279113769531,1.0,0.0
44,4.009507179260254,2.8712329864501953,2.0413057804107666,1.077953815460205,0.0
45,3.9591658115386963,3.039398431777954,1.9508167505264282,1.0506190061569214,0.0
46,3.9113898277282715,2.9401464462280273,2.1484639644622803,1.0,1.1920928955078125e-07
47,4.026320457458496,2.956005573272705,2.017674446105957,1.0,2.384185791015625e-07
