timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/09/24 10:51:36.360, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 23, 0, 0, 12227, 52, 20.61, [N/A], 2250, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:37.374, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 29, 6, 325, 12227, 51, 25.72, [N/A], 1702, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:38.375, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 10, 1, 0, 12227, 56, 27.12, [N/A], 1680, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:39.391, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 66, 14, 14, 12227, 54, 52.37, [N/A], 2377, 14001, P0, Not Active, Not Active, Not Active
2026/09/24 10:51:40.404, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 549, 12227, 53, 59.99, [N/A], 1717, 14001, P0, Not Active, Not Active, Not Active
2026/09/24 10:51:41.417, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 805, 12227, 51, 20.06, [N/A], 1560, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:42.417, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 13, 4, 805, 12227, 56, 102.41, [N/A], 2182, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:51:43.427, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 805, 12227, 52, 21.00, [N/A], 1545, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:44.436, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 1317, 12227, 52, 18.08, [N/A], 1485, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:51:45.443, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 34, 1317, 12227, 66, 88.47, [N/A], 2752, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:51:46.445, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 1317, 12227, 55, 94.09, [N/A], 1567, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:51:47.447, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 1317, 12227, 52, 16.38, [N/A], 262, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:51:48.450, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 1317, 12227, 52, 14.30, [N/A], 255, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:51:49.459, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 1317, 12227, 52, 14.36, [N/A], 247, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:51:50.472, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 8, 0, 2341, 12227, 52, 18.66, [N/A], 1875, 11001, P2, Not Active, Not Active, Not Active
