timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/09/24 10:55:33.770, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 0, 12227, 50, 21.41, [N/A], 0, 14001, P0, Active, Not Active, Not Active
2026/09/24 10:55:34.780, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 3710, 12227, 49, 19.72, [N/A], 1507, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:35.792, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 7, 0, 10935, 12227, 50, 23.62, [N/A], 1845, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:36.807, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 6, 0, 10935, 12227, 50, 22.58, [N/A], 1845, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:37.822, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 6, 0, 10935, 12227, 50, 23.52, [N/A], 1830, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:38.836, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 99, 27, 10935, 12227, 61, 45.79, [N/A], 1987, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:39.849, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 99, 25, 10935, 12227, 62, 120.71, [N/A], 2310, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:40.859, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 31, 10935, 12227, 63, 120.61, [N/A], 2445, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:41.872, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 31, 10935, 12227, 63, 120.66, [N/A], 2497, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:42.882, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 31, 10935, 12227, 64, 120.21, [N/A], 2520, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:43.887, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 99, 31, 10935, 12227, 64, 120.45, [N/A], 2542, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:44.894, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 64, 120.33, [N/A], 2565, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:45.895, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 99, 30, 10935, 12227, 65, 120.02, [N/A], 2557, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:46.907, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 30, 10935, 12227, 65, 120.11, [N/A], 2565, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:55:47.919, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 26, 10935, 12227, 66, 120.17, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:48.927, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 66, 120.21, [N/A], 2572, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:49.941, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 66, 119.77, [N/A], 2572, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:50.952, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 67, 120.01, [N/A], 2587, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:51.964, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 67, 119.81, [N/A], 2580, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:52.975, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 25, 10935, 12227, 67, 119.75, [N/A], 2580, 11001, P2, Active, Not Active, Not Active
2026/09/24 10:55:53.977, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 54, 13, 10935, 12227, 61, 114.21, [N/A], 2580, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:55:54.983, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 56, 23.05, [N/A], 300, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:55:55.987, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 55, 15.92, [N/A], 285, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:55:56.990, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 55, 14.73, [N/A], 262, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:55:57.991, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 54, 14.73, [N/A], 262, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:55:59.000, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 54, 14.78, [N/A], 247, 9001, P4, Not Active, Not Active, Not Active
2026/09/24 10:56:00.001, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 1, 0, 10935, 12227, 54, 14.68, [N/A], 247, 9001, P4, Not Active, Not Active, Not Active
