timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/09/24 10:56:28.050, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 0, 0, 0, 12227, 53, 10.59, [N/A], 285, 405, P8, Not Active, Not Active, Not Active
2026/09/24 10:56:29.058, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 7, 0, 10935, 12227, 54, 21.27, [N/A], 1882, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:56:30.072, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 6, 0, 10935, 12227, 54, 23.36, [N/A], 1852, 11001, P2, Not Active, Not Active, Not Active
2026/09/24 10:56:31.086, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 32, 3, 10935, 12227, 54, 26.48, [N/A], 1440, 810, P5, Not Active, Not Active, Not Active
2026/09/24 10:56:32.097, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 33, 4, 10935, 12227, 54, 26.19, [N/A], 1440, 810, P5, Not Active, Not Active, Not Active
2026/09/24 10:56:33.110, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 33, 10935, 12227, 67, 79.64, [N/A], 2760, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:34.121, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 34, 10935, 12227, 68, 119.86, [N/A], 2677, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:35.133, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 34, 10935, 12227, 68, 121.70, [N/A], 2662, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:36.149, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 33, 10935, 12227, 68, 119.64, [N/A], 2647, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:37.158, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 32, 10935, 12227, 68, 120.89, [N/A], 2632, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:38.173, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 32, 10935, 12227, 68, 119.61, [N/A], 2625, 9001, P4, Active, Not Active, Not Active
2026/09/24 10:56:39.182, NVIDIA GeForce RTX 5070 Ti Laptop GPU, 100, 32, 10935, 12227, 68, 120.26, [N/A], 2617, 9001, P4, Active, Not Active, Not Active
